S No,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
1,15,Bilaspur,BILASPUR,Himachal Pradesh(State),BLS,08,030,Not Covered,,,,
2,16,Chamba,CHAMBA,Himachal Pradesh(State),CHM,01,023,Not Covered,,,,
3,17,Hamirpur,HAMIRPUR,Himachal Pradesh(State),HMP,06,028,Not Covered,,,,
4,18,Kangra,KANGRA,Himachal Pradesh(State),KNG,02,024,Not Covered,,,,
5,19,Kinnaur,KINNAUR,Himachal Pradesh(State),KIN,12,034,Fully Covered,,,,
6,20,Kullu,KULLU,Himachal Pradesh(State),KUL,04,026,Not Covered,,,,
7,21,Lahaul And Spiti,Lahaul and Spiti,Himachal Pradesh(State),LAS,03,025,Fully Covered,,,,
8,22,Mandi,MANDI,Himachal Pradesh(State),MND,05,027,Not Covered,,,,
9,23,Shimla,SHIMLA,Himachal Pradesh(State),SHM,11,033,Not Covered,,,,
10,24,Sirmaur,SIRMAUR,Himachal Pradesh(State),SRM,10,032,Not Covered,,,,
11,25,Solan,SOLAN,Himachal Pradesh(State),SLN,09,031,Not Covered,,,,
12,26,Una,UNA,Himachal Pradesh(State),UNA,07,029,Not Covered,,,,
