S No,Sub-District LGD Code,Sub-District Name (In English),Sub-District Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
1,6900,Alampur,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
2,148,Amb,,Una(District) / Himachal Pradesh(State),2,00148,Not Covered,,,,
3,121,Ani,,Kullu(District) / Himachal Pradesh(State),5,00121,Not Covered,,,,
4,158,Arki,,Solan(District) / Himachal Pradesh(State),1,00158,Not Covered,,,,
5,134,Aut,,Mandi(District) / Himachal Pradesh(State),11,00134,Not Covered,,,,
6,162,Baddi,,Solan(District) / Himachal Pradesh(State),0,00162,Not Covered,,,,
7,186,Bagachnogi,बागाचनोगी,Mandi(District) / Himachal Pradesh(State),10,00186,Not Covered,,,,
8,7174,Bagshad,Bagshad,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
9,112,Baijnath,,Kangra(District) / Himachal Pradesh(State),18,00112,Not Covered,,,,
10,131,Baldwara,,Mandi(District) / Himachal Pradesh(State),8,00131,Not Covered,,,,
11,6947,Balh,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
12,135,Bali Chowki,,Mandi(District) / Himachal Pradesh(State),12,00135,Not Covered,,,,
13,149,Bangana,,Una(District) / Himachal Pradesh(State),3,00149,Not Covered,,,,
14,120,Banjar,,Kullu(District) / Himachal Pradesh(State),4,00120,Not Covered,,,,
15,102,Baroh,,Kangra(District) / Himachal Pradesh(State),9,00102,Not Covered,,,,
16,144,Barsar,,Hamirpur(District) / Himachal Pradesh(State),4,00144,Not Covered,,,,
17,130,Bhadrota,,Mandi(District) / Himachal Pradesh(State),0,00130,Not Covered,,,,
18,86,Bhalai,,Chamba(District) / Himachal Pradesh(State),4,00086,Not Covered,,,,
19,153,Bharari,,Bilaspur(District) / Himachal Pradesh(State),0,00153,Not Covered,,,,
20,92,Bharmour,,Chamba(District) / Himachal Pradesh(State),10,00092,Not Covered,,,,
21,7414,Bharoli,Bharoli,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
22,147,Bharwain,,Una(District) / Himachal Pradesh(State),1,00147,Not Covered,,,,
23,88,Bhattiyat,,Chamba(District) / Himachal Pradesh(State),6,00088,Not Covered,,,,
24,6939,Bhawarna,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
25,146,Bhoranj,,Hamirpur(District) / Himachal Pradesh(State),6,00146,Not Covered,,,,
26,6885,Bhota,,Hamirpur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
27,6887,Bhuntar,,Kullu(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
28,156,Bilaspur Sadar,,Bilaspur(District) / Himachal Pradesh(State),4,00156,Not Covered,,,,
29,6892,Birhu Kalan,,Una(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
30,7560,Chachian,चचियां,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
31,137,Chachyot,,Mandi(District) / Himachal Pradesh(State),14,00137,Not Covered,,,,
32,6897,Chadiyar,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
33,90,Chamba,,Chamba(District) / Himachal Pradesh(State),8,00090,Not Covered,,,,
34,185,Chaupal,,Shimla(District) / Himachal Pradesh(State),9,00185,Not Covered,,,,
35,6950,Chhatri,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
36,192,Chirgaon,,Shimla(District) / Himachal Pradesh(State),16,00192,Not Covered,,,,
37,84,Churah,,Chamba(District) / Himachal Pradesh(State),2,00084,Not Covered,,,,
38,171,Dadahu,,Sirmaur(District) / Himachal Pradesh(State),5,00171,Not Covered,,,,
39,6918,Dadasiba,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
40,87,Dalhousie,,Chamba(District) / Himachal Pradesh(State),5,00087,Not Covered,,,,
41,6901,Dareeni,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
42,159,Darlaghat,,Solan(District) / Himachal Pradesh(State),0,00159,Not Covered,,,,
43,6958,Deha,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
44,6949,Dehar,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
45,103,Dehra Gopipur,देहरा गोपीपुर,Kangra(District) / Himachal Pradesh(State),10,00103,Not Covered,,,,
46,7175,Dhalwan,Dhalwan,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
47,6964,Dhami,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
48,7577,Dhamwari,धमवाड़ी,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
49,127,Dharmpur,,Mandi(District) / Himachal Pradesh(State),5,00127,Not Covered,,,,
50,99,Dharmsala,,Kangra(District) / Himachal Pradesh(State),7,00099,Not Covered,,,,
51,6944,Dharwala,,Chamba(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
52,145,Dhatwal,,Hamirpur(District) / Himachal Pradesh(State),5,00145,Not Covered,,,,
53,109,Dhira,,Kangra(District) / Himachal Pradesh(State),15,00109,Not Covered,,,,
54,193,Dodra Kwar,,Shimla(District) / Himachal Pradesh(State),17,00193,Not Covered,,,,
55,6891,Dulahar,,Una(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
56,95,Fatehpur,,Kangra(District) / Himachal Pradesh(State),3,00095,Not Covered,,,,
57,6893,Gagret,,Una(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
58,142,Galore,,Hamirpur(District) / Himachal Pradesh(State),0,00142,Not Covered,,,,
59,6921,Gangath,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
60,6888,Ghanari,,Una(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
61,152,Ghumarwin,,Bilaspur(District) / Himachal Pradesh(State),1,00152,Not Covered,,,,
62,143,Hamirpur,,Hamirpur(District) / Himachal Pradesh(State),3,00143,Not Covered,,,,
63,194,Hangrang,,Kinnaur(District) / Himachal Pradesh(State),1,00194,Not Covered,,,,
64,97,Harchakian,,Kangra(District) / Himachal Pradesh(State),5,00097,Not Covered,,,,
65,6920,Haripur,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
66,6953,Haripurdhar,,Sirmaur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
67,151,Haroli,,Una(District) / Himachal Pradesh(State),5,00151,Not Covered,,,,
68,91,Holi,,Chamba(District) / Himachal Pradesh(State),9,00091,Not Covered,,,,
69,94,Indora,,Kangra(District) / Himachal Pradesh(State),2,00094,Not Covered,,,,
70,6889,Ispur,,Una(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
71,7413,Jahu,Jahu,Hamirpur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
72,110,Jaisinghpur,,Kangra(District) / Himachal Pradesh(State),0,00110,Not Covered,,,,
73,6961,Jalog,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
74,6957,Jangla,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
75,7283,Jari,,Kullu(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
76,105,Jaswan,,Kangra(District) / Himachal Pradesh(State),11,00105,Not Covered,,,,
77,104,Jawalamukhi,,Kangra(District) / Himachal Pradesh(State),0,00104,Not Covered,,,,
78,96,Jawali,,Kangra(District) / Himachal Pradesh(State),4,00096,Not Covered,,,,
79,154,Jhanduta,,Bilaspur(District) / Himachal Pradesh(State),2,00154,Not Covered,,,,
80,124,Jogindarnagar,,Mandi(District) / Himachal Pradesh(State),2,00124,Not Covered,,,,
81,6890,Jol,,Una(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
82,188,Jubbal,,Shimla(District) / Himachal Pradesh(State),12,00188,Not Covered,,,,
83,183,Junga,,Shimla(District) / Himachal Pradesh(State),7,00183,Not Covered,,,,
84,6943,Kakira,,Chamba(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
85,7284,Kalbog,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
86,6938,Kalol,,Bilaspur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
87,197,Kalpa,,Kinnaur(District) / Himachal Pradesh(State),4,00197,Not Covered,,,,
88,174,Kamrau,,Sirmaur(District) / Himachal Pradesh(State),8,00174,Not Covered,,,,
89,166,Kandaghat,,Solan(District) / Himachal Pradesh(State),7,00166,Not Covered,,,,
90,6884,Kangoo,,Hamirpur(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
91,100,Kangra,,Kangra(District) / Himachal Pradesh(State),8,00100,Not Covered,,,,
92,139,Karsog,,Mandi(District) / Himachal Pradesh(State),16,00139,Not Covered,,,,
93,164,Kasauli,,Solan(District) / Himachal Pradesh(State),5,00164,Not Covered,,,,
94,6945,Katoula,,Mandi(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
95,107,Khundian,,Kangra(District) / Himachal Pradesh(State),13,00107,Not Covered,,,,
96,6956,Kotgarh,,Shimla(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
97,189,Kotkhai,,Shimla(District) / Himachal Pradesh(State),13,00189,Not Covered,,,,
98,6896,Kotla,,Kangra(District) / Himachal Pradesh(State),,00000,Not Covered,,,,
99,128,Kotli,,Mandi(District) / Himachal Pradesh(State),6,00128,Not Covered,,,,
100,163,Krishangarh,,Solan(District) / Himachal Pradesh(State),4,00163,Not Covered,,,,
101,118,Kullu,,Kullu(District) / Himachal Pradesh(State),2,00118,Not Covered,,,,
102,179,Kumarsain,,Shimla(District) / Himachal Pradesh(State),3,00179,Not Covered,,,,
