S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,19544,Ajnol(383),अजनोल (383),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01262500,019544,N,,,,
2,19098,Amarpur (457),अमरपुर (457),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01228100,019098,N,,,,
3,19088,Amar Singh Pura (473/1),अमरसिंहपुरा (473/1),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01227100,019088,N,,,,
4,19577,Ambuwala (390/1),अंबुवाला (390/1),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01265800,019577,N,,,,
5,19327,Amroa (118),अमरो़आ (118),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01240800,019327,N,,,,
6,19650,Amroa (395),अमरोआ (395),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01273100,019650,N,,,,
7,19268,Arloh (34-35),अरलोह (34 35),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01234900,019268,N,,,,
8,19901,Asha Majari (23),आशा मजारी (23),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01291700,019901,N,eSignGOFile662648_30_04_2025_15_27_31.pdf,,,
9,19101,Auhar (459),औहर (459),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01228400,019101,N,,,,
10,19108,Awari Khalin (468),अवारी खली़न (468),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01229100,019108,N,,,,
11,19015,Awdhani (451),अवढाणी (451),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01219800,019015,N,,,,
12,18961,Babeli (387),बवैली (387),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01212600,018961,N,,,,
13,18938,Bachhri (378),बछड़ी (378),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01210300,018938,N,,,,
14,937815,Baddu Shehri (407/1),बढू शहरी (407/1),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),,000000,N,,,,
15,19229,Badgaon (212),बडगाँव (212),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01231000,019229,N,,,,
16,19317,Badgaon (4),बड़गाँव (4),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01239800,019317,N,,,,
17,19541,Badharan (385),बढ़ारन (385),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01262200,019541,N,,,,
18,19818,Badhu (262),बडू (262),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01298000,019818,N,,,,
19,18951,Badhu (413),बड्डू (413),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01211600,018951,N,,,,
20,19429,Badhu (57),बहडू (57),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01251000,019429,N,,,,
21,19002,Badhu Gramin (407),बढू ग्रामीण (407),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01218500,019002,N,,,,
22,19761,Badhyat (176),बध्यात (176),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01284200,019761,N,,,,
23,19896,Badnu (59),बाडनू (59),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01291200,019896,N,,,,
24,19583,Badoh (388),बडोह (388),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01266400,019583,N,,,,
25,19477,Badol (172),बडोल (172),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01255800,019477,N,,,,
26,19021,Badota Gramin (441),बडोटा ग्रामीण (441),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01220400,019021,N,,,,
27,19171,Badsai (292),बडसाय (292),Bharari(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01204500,019171,N,,,,
28,19184,Badsin (293),भदसीं (293),Bharari(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01205800,019184,N,,,,
29,19770,Badsour (195),बदसौर (195),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01285100,019770,N,,,,
30,19645,Badsu (404),बडसू (404),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01272600,019645,N,,,,
31,19747,Bagaun (122),बगॉण (122),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01282800,019747,N,,,,
32,19610,Bagh (324),बाग (324),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01269100,019610,N,,,,
33,19945,Bagh Khurd (29),बाग खुर्द (29),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01302600,019945,N,,,,
34,19882,Bagh Phuglata (81),बाग फुगलाटा (81),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01289800,019882,N,eSignGOFile662648_30_04_2025_15_28_19.pdf,,,
35,19713,Bagi (180),बागी (180),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01279400,019713,N,,,,
36,19951,Bag Kalan (18),बाग कलाँ (18),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01303200,019951,N,,,,
37,19377,Bagla (92),बागला (92),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01245800,019377,N,,,,
38,19110,Bagthedu (463),बागठेडू (463),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01229300,019110,N,,,,
39,19203,Bah (305),बाह (305),Bharari(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01207700,019203,N,,,,
40,19649,Baihal Bhabian (400),बैहल भाबियाँ (400),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01273000,019649,N,,,,
41,19762,Baihal Kandaila (175),बैहल कंडैला (175),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01284300,019762,N,,,,
42,19897,Baihli (61),बैहली (61),Namhol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01291300,019897,N,,,,
43,19480,Baihna Jattan (180),बैहना जट्टां (180),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01256100,019480,N,,,,
44,19453,Baithrin (79),बैथरीं (79),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01253400,019453,N,,,,
45,19375,Bakain (91),बकैण (91),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01245600,019375,N,,,,
46,19099,Bakroa (464),वकरो़आ (464),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01228200,019099,N,,,,
47,19337,Bala (124),बाला (124),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01241800,019337,N,,,,
48,19156,Balauni (331),बलौणी (331),Bharari(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01200900,019156,N,,,,
49,18955,Balaur (439),बिलौर (439),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01212000,018955,N,,,,
50,19066,Baldwara (497),बल्द्वाड़ा (497),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01224900,019066,N,,,,
51,19372,Balghar (114),बलघाड (114),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01245300,019372,N,,,,
52,19695,Balh Bhalwanana (172),बल्ह भलवा़णा (172),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01277600,019695,N,,,,
53,19430,Balh Chalog (56),बल्ह चलोग (56),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01251100,019430,N,,,,
54,19118,Balh Churani (492),बल्ह चुरा़णी (492),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01230100,019118,N,,,,
55,19416,Balh Fattu (45),बल्ह फतू (45),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01249700,019416,N,,,,
56,19682,Balhi Jhaleda (153),बल्ही झलेड़ा (153),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01276300,019682,N,,,,
57,19124,Balhi Lawana (338),बल्ही लवाणा (338),Bharari(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01197700,019124,N,,,,
58,19451,Balhi Mareta Abbal (81),बल्ही मरेटा अव्वल (81),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01253200,019451,N,,,,
59,19648,Balhi Mareta Doyam (81/2),बल्ही मरेटा दोयम (81/2),Kalol(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01272900,019648,N,,,,
60,19684,Balhi Villan (151),बल्ही विलां (151),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01276500,019684,N,,,,
61,19824,Balh Karaita (279),बल्ह करेंता (279),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01298600,019824,N,,,,
62,19291,Balhseena (11),बल्हसी़णा (11),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01237200,019291,N,,,,
63,19012,Balhu Kharyala (449),वल्हू खरयाला (449),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01219500,019012,N,,,,
64,19745,Baloh (127),बलोह (127),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01282600,019745,N,,,,
65,19767,Baloh (211),बलोह (211),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01284800,019767,N,,,,
66,19320,Baloh (219),बलोह (219),Jhanduta(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01240100,019320,N,,,,
67,19001,Baloh (403),बलोह (403),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01218400,019001,N,,,,
68,19116,Baloh (476),बलोह (476),Ghumarwin(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01229900,019116,N,,,,
69,19146,Balota (276),बलोटा (276),Bharari(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01199900,019146,N,,,,
70,19760,Bamta (201),बामटा (201),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01284100,019760,N,,,,
71,19771,Bandla (194),बन्दला (194),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01285200,019771,N,,,,
72,19705,Bandla Miyan (166),बंदला मियाँ (166),Bilaspur Sadar(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01278600,019705,N,,,,
73,19670,Baner (281),बनेर (281),Naina Devi(Sub-District) / Bilaspur(District) / Himachal Pradesh(State),01275100,019670,N,,,,
