S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,6838,Aail (297),आईल (297),Churah(Sub-District) / Chamba(District) / Himachal Pradesh(State),00016600,006838,N,,,,
2,7644,Adhwar (274),अधवार (274),Sihunta(Sub-District) / Chamba(District) / Himachal Pradesh(State),00097200,007644,N,,,,
3,7901,Agahar (136),अगाहर (136),Dharwala(Sub-District) / Chamba(District) / Himachal Pradesh(State),00122900,007901,N,,,,
4,7958,Agahar (191),अगाहर (191),Saho(Sub-District) / Chamba(District) / Himachal Pradesh(State),00128600,007958,N,,,,
5,8149,Agasan (111),अगासन (111),Bharmour(Sub-District) / Chamba(District) / Himachal Pradesh(State),00147700,008149,F,,,,
6,7233,Aihni (222),ऐहणी (222),Saluni(Sub-District) / Chamba(District) / Himachal Pradesh(State),00056100,007233,N,,,,
7,7262,Airuwan (74),ऐरूवां (74),Saluni(Sub-District) / Chamba(District) / Himachal Pradesh(State),00059000,007262,N,,,,
8,6753,Ajog (100),अजोग (100),Saach(Sub-District) / Chamba(District) / Himachal Pradesh(State),00008100,006753,F,,,,
9,7475,Aled (120),अलेड(120),Kakira(Sub-District) / Chamba(District) / Himachal Pradesh(State),00080300,007475,N,,,,
10,6781,Alwas (365),अलवास (365),Churah(Sub-District) / Chamba(District) / Himachal Pradesh(State),00010900,006781,N,,,,
11,7700,Anain (335),अणाई (335),Sihunta(Sub-District) / Chamba(District) / Himachal Pradesh(State),00102800,007700,N,,,,
12,8067,Anderlagran (183),अन्द्रलाग्रां (183),Holi(Sub-District) / Chamba(District) / Himachal Pradesh(State),00139500,008067,F,,,,
13,7991,Andrahar (227),अन्द्रहर (227),Saho(Sub-District) / Chamba(District) / Himachal Pradesh(State),00131900,007991,N,,,,
14,7339,Andral (62),अन्दराल (62),Telka(Sub-District) / Chamba(District) / Himachal Pradesh(State),00066700,007339,N,,,,
15,7858,Andround (93),अन्द्रौंद (93),Dharwala(Sub-District) / Chamba(District) / Himachal Pradesh(State),00118600,007858,N,,,,
16,7186,Andwas (251),अंदवास (251),Saluni(Sub-District) / Chamba(District) / Himachal Pradesh(State),00051400,007186,N,,,,
17,6813,Andwas (350),अन्दवास (350),Churah(Sub-District) / Chamba(District) / Himachal Pradesh(State),00014100,006813,N,,,,
18,7597,Aru Da Fer (250),आरू दा फेर (250),Bhattiyat(Sub-District) / Chamba(District) / Himachal Pradesh(State),00092500,007597,N,,,,
19,6982,Aryas (510),अरयास (510),Churah(Sub-District) / Chamba(District) / Himachal Pradesh(State),00031000,006982,N,,,,
20,7978,Athlun (207),अठलूं (207),Saho(Sub-District) / Chamba(District) / Himachal Pradesh(State),00130600,007978,N,,,,
21,7790,Auda (33),औडा (33),Chamba(Sub-District) / Chamba(District) / Himachal Pradesh(State),00111800,007790,F,,,,
22,7517,Auhar (172),औहर (172),Kakira(Sub-District) / Chamba(District) / Himachal Pradesh(State),00084500,007517,N,,,,
23,7542,Awanh (188),अवांह (188),Bhattiyat(Sub-District) / Chamba(District) / Himachal Pradesh(State),00087000,007542,N,,,,
24,7261,Bachuni (76),बचूणी (76),Saluni(Sub-District) / Chamba(District) / Himachal Pradesh(State),00058900,007261,N,,,,
25,7480,Bada Jangal (130),बाडा जंगल(130),Kakira(Sub-District) / Chamba(District) / Himachal Pradesh(State),00080800,007480,N,,,,
26,8205,Badei (121),बडेई (121),Bharmour(Sub-District) / Chamba(District) / Himachal Pradesh(State),00153300,008205,F,,,,
27,7556,Badei Jangal (202),वडेई जंगल (202),Bhattiyat(Sub-District) / Chamba(District) / Himachal Pradesh(State),00088400,007556,N,,,,
28,7410,Baderu (100),बडेरू (100),Dalhousie(Sub-District) / Chamba(District) / Himachal Pradesh(State),00073800,007410,N,,,,
29,8190,Badgran (40),बडग्रां (40),Bharmour(Sub-District) / Chamba(District) / Himachal Pradesh(State),00151800,008190,F,,,,
30,7140,Badi (114),बाडी (114),Saluni(Sub-District) / Chamba(District) / Himachal Pradesh(State),00046800,007140,N,,,,
31,7511,Badingi (157),बडिगी (157),Kakira(Sub-District) / Chamba(District) / Himachal Pradesh(State),00083900,007511,N,,,,
32,7424,Badoh (49),बडोह (49),Dalhousie(Sub-District) / Chamba(District) / Himachal Pradesh(State),00075200,007424,N,,,,
33,7425,Bagdhar (31),बगढार (31),Dalhousie(Sub-District) / Chamba(District) / Himachal Pradesh(State),00075300,007425,N,,,,
34,7211,Bagel (258),बगेल (258),Saluni(Sub-District) / Chamba(District) / Himachal Pradesh(State),00053900,007211,N,,,,
