S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,16792,Adaras Nagar (24/17),आदर्श नगर (24/17),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01004200,016792,N,,,,
2,17409,Adarin (30/15),आधरी (30/15),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01056800,017409,N,,,,
3,17164,Adhwani (48/1),अधवानी  (48/1),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01029900,017164,N,,,,
4,17428,Aghar (31/1),अघार (31/1),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01058700,017428,N,,,,
5,17295,Aghar (42/41),अघार (42/41),Hamirpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01044700,017295,N,,,,
6,17703,Aghwin Buhli (34/65),अगवीं बूहली (34/65),Dhatwal(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01083600,017703,N,,,,
7,17704,Aghwin Upperly (34/64),अगवीं उपरली (34/64),Dhatwal(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01083700,017704,N,,,,
8,16941,Agthan (36/14),अगथान (36/14),Galore(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00992500,016941,N,,,,
9,16488,Ajjal (60/5),अजल (60/5),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00965600,016488,N,,,,
10,17549,Akrana Brahmna (35/11),अकराणा   ब्राहमणा (35/11),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01070100,017549,N,,,,
11,17550,Akrana Rajputtan (35/6),अकराणा  राजपुता (35/6),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01070200,017550,N,,,,
12,16405,Amb Ghara (54/1),अम्ब गाहरा (54/1),Tira Sujanpur(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00957300,016405,N,,,,
13,17392,Ambheri (29/5),अम्बेडी (29/5),Barsar(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01055200,017392,N,,,,
14,16673,Ambi (20/1),अम्वी (20/1),Nadaun(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),00983700,016673,N,,,,
15,17629,Amboha Jhikla (41/6),अम्बोहा झिकला (41/6),Bhota(Sub-District) / Hamirpur(District) / Himachal Pradesh(State),01077100,017629,N,,,,
