S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,11539,Aasan Pat (42),आसनपट (42),Chachian(Sub-District) / Kangra(District) / Himachal Pradesh(State),00486200,011539,N,,,,
2,9672,Abdullapur (435),अबदुल्लापुर (435),Kangra(Sub-District) / Kangra(District) / Himachal Pradesh(State),00299600,009672,N,,,,
3,10491,Adhwani (350),अधवाणी (350),Bharoli(Sub-District) / Kangra(District) / Himachal Pradesh(State),00377600,010491,N,eSignGOFile131557_10_06_2024_16_15_55.pdf,,,
4,8450,Agara Nal (411),आगरा दा नाल (411),Gangath(Sub-District) / Kangra(District) / Himachal Pradesh(State),00177800,008450,N,,,,
5,8882,Aghar (173),अगाहर (173),Rey(Sub-District) / Kangra(District) / Himachal Pradesh(State),00221000,008882,N,,,,
6,8469,Aghar (309),अघार (309),Nurpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00179700,008469,N,,,,
7,10864,Aghar (789),अघार (789),Khundian(Sub-District) / Kangra(District) / Himachal Pradesh(State),00418800,010864,N,,,,
8,11785,Agojar Khas (750),अगोज़र खास (750),Panchrukhi(Sub-District) / Kangra(District) / Himachal Pradesh(State),00510800,011785,N,,,,
9,8360,Agrah Da Ban (25),आंगडा दा बन (25),Nurpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00168800,008360,N,,,,
10,11842,Aima (212),आइमा (212),Palampur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00516500,011842,N,,,,
11,9726,Aima (261),आईमा (261),Kangra(Sub-District) / Kangra(District) / Himachal Pradesh(State),00306200,009726,N,,,,
12,10341,Akhanbali (534),आखनबली (534),Haripur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00366500,010341,N,,,,
13,10157,Akrana (770),अकराना (770),Baroh(Sub-District) / Kangra(District) / Himachal Pradesh(State),00348100,010157,N,,,,
14,11348,Alampur (472),आलमपुर (472),Alampur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00467100,011348,N,,,,
15,10805,Aloh (271),अलोह (271),Rakkar(Sub-District) / Kangra(District) / Himachal Pradesh(State),00412900,010805,N,,,,
16,10713,Aloh Buhla (207),अलोह बुहला (207),Pragpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00403700,010713,N,,,,
17,10723,Aloh Chambyala (214),अलोह चम्बयाला (214),Pragpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00404700,010723,N,,,,
18,10804,Aloh Parla (274),अलोह पारला (274),Rakkar(Sub-District) / Kangra(District) / Himachal Pradesh(State),00412800,010804,N,,,,
19,11216,Alsa (139),अलसा (139),Dhira(Sub-District) / Kangra(District) / Himachal Pradesh(State),00453900,011216,N,,,,
20,11411,Alsanu (625),अलसानू (625),Jaisinghpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00473400,011411,N,,,,
21,11165,Alsehar (127),अलसेहड़ (127),Dhira(Sub-District) / Kangra(District) / Himachal Pradesh(State),00448800,011165,N,,,,
22,10862,Aluha (687),अलूहा (687),Khundian(Sub-District) / Kangra(District) / Himachal Pradesh(State),00418600,010862,N,,,,
23,10623,Amalehar (32),अमलैहड़ (32),Jaswan(Sub-District) / Kangra(District) / Himachal Pradesh(State),00394700,010623,N,,,,
24,11896,Amarpur (832),अमरपुर (832),Baijnath(Sub-District) / Kangra(District) / Himachal Pradesh(State),00521900,011896,N,,,,
25,939751,Amarpuri (Nac) (431-3),अमरपुरी (431-3),Dehra Gopipur(Sub-District) / Kangra(District) / Himachal Pradesh(State),,000000,N,,,,
26,10407,Amb (619),अम्ब (619),Dehra Gopipur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00373100,010407,N,,,,
27,11256,Amb (640),अम्व (640),Jaisinghpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00457900,011256,N,,,,
28,10851,Ambara 785),अम्बाड़ा (785),Khundian(Sub-District) / Kangra(District) / Himachal Pradesh(State),00417500,010851,N,,,,
29,9463,Ambari (287),अम्वाड़ी (287),Shahpur(Sub-District) / Kangra(District) / Himachal Pradesh(State),00279000,009463,N,,,,
