S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,27138,Agade (31/ 7),अगादे (31/7),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01988300,027138,F,,,,
2,26943,Akpa Khas (33/1),अकपा खास (33/1),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01968000,026943,F,,,,
3,27285,Anati Dhar (16),अनाती धार (16),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02003000,027285,F,,,,
4,26966,Asno Kanda (48/8),आसनो कण्ड़ा (48/8),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01971100,026966,F,,,,
5,26892,Asrang Khas (7/1),आसरंग खास (7/1),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01962000,026892,F,,,,
6,27212,Atang Melang Dhar (79),आट़ंगमेलंग धार (79),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01995700,027212,F,,,,
7,27193,Bagantu Dhar (47),बगान्टू धार (47),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01993800,027193,F,,,,
8,27194,Bahal Dhar (49),बहाल धार (49),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01993900,027194,F,,,,
9,26872,Baicho Thach (7/4),बैचो थाच (7/4),Morang(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01960000,026872,F,,,,
10,27133,Baiyee (30/10),बेई (30/10),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01987800,027133,F,,,,
11,27211,Balthachang Dhar (78),बालथाचंग धार (78),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01995600,027211,F,,,,
12,27099,Bara Kamba (7/3),बड़ा कम्बा (7/3),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01984400,027099,F,,,,
13,27066,Barang Khas (37/1),बारंग खास (37/1),Kalpa(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01981100,027066,F,,,,
14,27157,Baro (32/2),बारो (32/2),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01990200,027157,F,,,,
15,27288,Barua Khas (19/1),बरुआ खास (19/1),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02003300,027288,F,,,,
16,27095,Basharang (8/1),बशारंग (8/1),Nichar(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),01984000,027095,F,,,,
17,27284,Batingara Dhar (12),बतिंगरा धार (12),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02002900,027284,F,,,,
18,27330,Batseri (43/1),बटसेरी (43/1),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02007500,027330,F,,,,
19,27278,Baturi (13/3),बटूरी (13/3),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02002300,027278,F,,,,
20,27280,Baturi Kanda (13/5),बटूरी कण्डा (13/5),Sangla(Sub-District) / Kinnaur(District) / Himachal Pradesh(State),02002500,027280,F,,,,
