S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,12771,Aarakshit Ban Fojal Kalaun (1/25),आरक्षित वन फोजल कलौण 1/25,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600600,012771,N,eSignGOFile662648_20_02_2025_11_58_54.pdf,,,
2,12682,Aarkshit Van Dhungri R-1,आरक्षित वन ढुंगरी आर-1,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598400,012682,N,,,,
3,937575,Aarkshit Van R-2 Monal Gahar,आरक्षित वन आर-2 मोनाल गाहर,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
4,937576,Aarkshit Van R-3 Dana Vihal,आरक्षित वन आर-3 दाना विहाल,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
5,937580,Aarkshit Van R-4 Syal Bhyal,आरक्षित वन आर-4 स्याल भ्याल,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
6,12673,Aleo,अलेऊ,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598300,012673,N,,,,
7,12840,Archhandi-I,अरछण्डी-1,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012840,N,,,,
8,12841,Archhandi-II,अरछण्डी-2,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012841,N,,,,
9,12969,Arsu (18/53),अर्सू (18/53),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00613700,012969,N,,,,
10,937581,Babeli,बबेली,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
11,937639,Babeli II,बबेली,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
12,949452,Badalag,बदालग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
13,937657,Badhera,बढेरा,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
14,937654,Badidhar,बड़ीधार,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
15,12843,Baga Mahili,वागा माहिली,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,012843,N,,,,
16,12761,Bagani,बगाणी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00600500,012761,N,,,,
17,12806,Bagu Nala,बगू नाला,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601300,012806,N,,,,
18,12667,Bahang,बाहंग,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00598200,012667,N,,,,
19,12726,Bahanu,बाहणू,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599800,012726,N,,,,
20,12924,Bahu(9/27),बाहू (9/27),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00609200,012924,N,,,,
21,12877,Bajaura (36/89),बजौरा (36/89),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00604600,012877,N,,,,
22,937659,Bakhari,बाखरी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
23,12923,Balagad (7/23),बलागाड़ (7/23),Banjar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00609100,012923,N,,,,
24,937662,Balaksho,बालकशो,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
25,12864,Balh (33/73),बल्ह (33/73),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00603200,012864,N,,,,
26,12867,Balh (34/79),बल्ह (34/79),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00603500,012867,N,,,,
27,949454,Balh Bhutti,बल्ह भुटठी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
28,937593,Balohani,बलौहणी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
29,937673,Bandal,बन्दल,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
30,12851,Banogi (26/53),बनोगी (26/53),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601900,012851,N,,,,
31,937693,Banontar,बनोंतर,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
32,937664,Baradha,बराधा,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
33,12712,Baragran (22/37),बड़ाग्रां (22/37),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599300,012712,N,,,,
34,12869,Barahar (34/80),बाराहार (34/80),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00603700,012869,N,,,,
35,949455,Barchani,बरचाणी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
36,12968,Bari (18/52),बाडी (18/52),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00613600,012968,N,,,,
37,12710,Bari (22/36),बाडी (22/36),Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599200,012710,N,,,,
38,12722,Barnar,बरनाड़,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),00599700,012722,N,,,,
39,12837,Barnot,बरनोट,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601600,012837,N,,,,
40,937587,Bashing,बाशिंग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
41,12853,Bastori (26/52),बस्तोरी (26/52),Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00602100,012853,N,,,,
42,949456,Bavonag,बवोनग,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
43,12978,Bayal (20/59),बायल (20/59),Nirmand(Sub-District) / Kullu(District) / Himachal Pradesh(State),00614600,012978,N,,,,
44,12789,Benchi (27/58),बैंची,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),00601000,012789,N,,,,
45,12957,Beungal (24/79),ब्यूंगल (24/79),Ani(Sub-District) / Kullu(District) / Himachal Pradesh(State),00612500,012957,N,,,,
46,937577,Bhajogi,भजोगी,Manali(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
47,12893,Bhallan-I (42/106),भलाण-I  (42/106),Bhuntar(Sub-District) / Kullu(District) / Himachal Pradesh(State),00606200,012893,N,,,,
48,12898,Bhallan-II (42/106),भलाण-II (42/106),Sainj(Sub-District) / Kullu(District) / Himachal Pradesh(State),00606600,012898,N,,,,
49,937624,Bhalogi,भलोगी,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
50,937603,Bhaltha Ser,भालठा सेर,Kullu(Sub-District) / Kullu(District) / Himachal Pradesh(State),,000000,N,,,,
