S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,12246,Aadat (211),अडत (211),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00556900,012246,F,,,,
2,12348,Baar (7/12),बार (7/12),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00567100,012348,F,,,,
3,12265,Ba-Baring (1/13),भा-बारिंग (1/13),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00558800,012265,F,,,,
4,12380,Barbog (9/1),बरबोग (9/1),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00570300,012380,F,,,,
5,12386,Bargul (11/4),बरगुल (11/4),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00570900,012386,F,,,,
6,12292,Barnam (2/3),बरनम (2/3),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00561500,012292,F,,,,
7,12194,Barour (124),बरोड (124),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00551700,012194,F,,,,
8,12364,Baryo (8/15),बरयो (8/15),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00568700,012364,F,,,,
9,12337,Beeling (7/1),बिलिंग (7/1),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00566000,012337,F,,,,
10,12271,Bha-Chevar (1/17),भा-चेवर (1/17),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00559400,012271,F,,,,
11,12326,Bha-Gadang (5/15),भा-गाडंग (5/15),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00564900,012326,F,,,,
12,12529,Bharpa(92),बारपा (92),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00585200,012529,F,eSignGOFile662648_19_02_2025_15_14_33.pdf,,,
13,12336,Bha-Sumnam (6/11),भा-सुमनम (6/11),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00565900,012336,F,,,,
14,12273,Bhayadi (1/19),भयाडी (1/19),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00559600,012273,F,,,,
15,12285,Bheling (1/26),बेलिंग (1/26),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00560800,012285,F,,,,
16,12191,Bhujund (109),भुजुण्ड (109),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00551400,012191,F,,,,
17,12357,Bok (8/8),बोक (8/8),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00568000,012357,F,,,,
18,12340,Bokar (7/3),बोकर (7/3),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00566300,012340,F,,,,
19,12418,Bokcha (14/3),बोकचा (14/3),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00574100,012418,F,,,,
20,12335,Bokta (6/10),बोक्टा (6/10),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00565800,012335,F,,,,
21,12574,Chamling (131),चमलिंग (131),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00589700,012574,F,,,,
22,12263,Chembak (1/9),चेमबक (1/9),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00558600,012263,F,,,,
23,12154,Chhaling (191),छालिंग (191),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00547700,012154,F,,,,
24,12372,Chharjee (9/9),छरजी (9/9),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00569500,012372,F,,,,
25,12376,Chheling (9/4),छैलिंग (9/4),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00569900,012376,F,,,,
26,12526,Chhidang (89),छीदांग (89),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00584900,012526,F,,,,
27,12361,Chhikabe (8/11),छिकावे (8/11),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00568400,012361,F,,,,
28,12257,Chhogjing (1/3),छोगजिंग (1/3),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00558000,012257,F,,,,
29,12415,Chhokar (13/13),छोकर (13/13),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00573800,012415,F,,,,
30,12309,Chhwagmurti (5/1),छवागमुर्ती (5/1),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00563200,012309,F,,,,
31,12485,Chicham Khas (56/1),चिच्चम खास (56/1),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00580800,012485,F,,,,
32,12467,Chichong (40/2),चिचोंग (40/2),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00579000,012467,F,,,,
33,12481,Chigzar (52/3),चिगजर (52/3),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00580400,012481,F,,,,
34,12170,Chimrat (202),चिमरट (202),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00549300,012170,F,,,,
35,12603,Chobrang Khas (152/1),चोबरंग खास (152/1),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00592600,012603,F,,,,
36,12256,Chokhang (1/4),चोखंग (1/4),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00557900,012256,F,,,,
37,12387,Dalang (12/1),दालंग (12/1),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00571000,012387,F,,,,
38,12317,Dangar (5/9),डंगर (5/9),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00564000,012317,F,,,,
39,12367,Dangma (8/18),दारचादंगमा (8/18),Lahul(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00569000,012367,F,,,,
40,12270,Delda (1/16),डेल्डा (1/16),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00559300,012270,F,,,,
41,12607,Demul Khas (155/1),डेमूल खास (155/1),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00593000,012607,F,,,,
42,12261,Dhandak (1/7),दंदक (1/7),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00558400,012261,F,,,,
43,12593,Dhankhar (149/1),डंखर (149/1),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00591600,012593,F,,,,
44,12148,Dhar Aahan (179),धार आहण (179),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00547100,012148,F,,,,
45,12642,Dhar Aangla (175),धार अंगला (175),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00596500,012642,F,,,,
46,12209,Dhar Batgahar (133),धार बतगाहर (133),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00553200,012209,F,,,,
47,12212,Dhar Bhim Bhag (141),धार भींबाग (141),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00553500,012212,F,,,,
48,12137,Dhar Bhitar (182),धार भीतर (182),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00546000,012137,F,,,,
49,12549,Dhar Changlung (109),धार चंगलुंग (109),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00587200,012549,F,,,,
50,12557,Dhar Changpat (117),धार चंगपट (117),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00588000,012557,F,,,,
51,12156,Dhar Chanuh (199),धार चणूह (199),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00547900,012156,F,,,,
52,12428,Dhar Charap Sampa (2),धार छरप समपा (2),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00575100,012428,F,,,,
53,12583,Dhar Charas (140),धार चारस (140),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00590600,012583,F,,,,
54,12145,Dhar Chetal (174),धार चेतल (174),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00546800,012145,F,,,,
55,12530,Dhar Chhaling (93),धार छालिंग (93),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00585300,012530,F,,,,
56,12188,Dhar Chhaned (107),धार छनेड (107),Udaipur(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00551100,012188,F,,,,
57,12531,Dhar Chhau (94),धार छाउ (94),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00585400,012531,F,,,,
58,12618,Dhar Chhavigya (162),धार छपज्ञा (162),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00594100,012618,F,,,,
59,12559,Dhar Chho Chho Dain (119),धार छोछोदेन (119),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00588200,012559,F,,,,
60,12647,Dhar Chhochhodun (178),धार छोछोडुन (178),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00597000,012647,F,,,,
61,12431,Dhar Chhomo (5),धार छोमो (5),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00575400,012431,F,,,,
62,12499,Dhar Chhon Chhon Kanghilda (67),धार चोचो कंगनिलदा (67),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00582200,012499,F,,,,
63,12560,Dhar Chhorak (120),धार छोराक (120),Spiti(Sub-District) / Lahaul And Spiti(District) / Himachal Pradesh(State),00588300,012560,F,,,,
