S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,13333,Aall (229),आल (229),Makridi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00650100,013333,N,,,,
2,14478,Aaran (615),आरन (615),Mandi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00764600,014478,N,,,,
3,13645,Aarli Paryal (57),आरली परयाल (57),Dharmpur(Sub-District) / Mandi(District) / Himachal Pradesh(State),00681300,013645,N,,,,
4,15511,Agalicharand (238),अगलीचढांद (238),Chachyot(Sub-District) / Mandi(District) / Himachal Pradesh(State),00867900,015511,N,,,,
5,16095,Agla Chera (306),अगला चैरा (306),Karsog(Sub-District) / Mandi(District) / Himachal Pradesh(State),00926300,016095,N,,,,
6,14297,Ahan (243),आहण (243),Dehar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00746500,014297,N,,,,
7,13254,Ahju (10),ऐहजू (10),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00642200,013254,N,,,,
8,13263,Ahru (48),आहडू (48),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00643100,013263,N,,,,
9,13751,Alag (8),अलग (8),Kotli(Sub-District) / Mandi(District) / Himachal Pradesh(State),00691900,013751,N,,,,
10,13058,Alang (478,आंलग (478),Padhar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00622600,013058,N,,,,
11,14642,Alathu (112),अलाथू (112),Mandi(Sub-District) / Mandi(District) / Himachal Pradesh(State),00781000,014642,N,,,,
12,13386,Algabari (278),अलगाबाड़ी (278),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00655400,013386,N,,,,
13,13216,Algan (512),अलगन (512),Katoula(Sub-District) / Mandi(District) / Himachal Pradesh(State),00638400,013216,N,,,,
14,13280,Almra (317),अलमरा (317),Jogindarnagar(Sub-District) / Mandi(District) / Himachal Pradesh(State),00644800,013280,N,,,,
15,15996,Alsindi (142),अलसिण्डी (142),Bagshad(Sub-District) / Mandi(District) / Himachal Pradesh(State),00916400,015996,N,,,,
