S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,23784,Addu (40),अड्डू (40),Nankhari(Sub-District) / Shimla(District) / Himachal Pradesh(State),01684700,023784,N,,,,
2,26451,Adhal(74/1),अढाल(74/1),Rohru(Sub-District) / Shimla(District) / Himachal Pradesh(State),01919700,026451,N,,,,
3,24099,Aeog(144),ऐवग(144),Sunni(Sub-District) / Shimla(District) / Himachal Pradesh(State),01716200,024099,N,,,,
4,24491,Agwahi (397),अगवाही (397),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01752500,024491,N,,,,
5,23843,Ahar (157),आहर(157),Kumarsain(Sub-District) / Shimla(District) / Himachal Pradesh(State),01690600,023843,N,,,,
6,25662,Ahnog (143),आहनोग(143),Kupvi(Sub-District) / Shimla(District) / Himachal Pradesh(State),01847800,025662,N,,,,
7,24165,Aisha (7),ऐशा(7),Jalog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01722800,024165,N,,,,
8,24674,Ajdhar(347),अजधार (347),Shimla ( Rural )(Sub-District) / Shimla(District) / Himachal Pradesh(State),01767700,024674,N,,,,
9,25398,Alashna (6),अलाशना(6),Chaupal(Sub-District) / Shimla(District) / Himachal Pradesh(State),01833800,025398,N,,,,
10,26172,Alawang (51),अलावंग (51),Kotkhai(Sub-District) / Shimla(District) / Himachal Pradesh(State),01896000,026172,N,,,,
11,25249,Aloti(218),अलोटी(218),Theog(Sub-District) / Shimla(District) / Himachal Pradesh(State),01821200,025249,N,,,,
12,24079,Ambari(128),ऐम्बरी(128),Sunni(Sub-District) / Shimla(District) / Himachal Pradesh(State),01714200,024079,N,,,,
13,26573,Amboi (14),अम्बोई(14),Jangla(Sub-District) / Shimla(District) / Himachal Pradesh(State),01931800,026573,N,,,,
14,26662,Ambot (81),अम्बोट (81),Dhamwari(Sub-District) / Shimla(District) / Himachal Pradesh(State),01940700,026662,N,eSignGOFile662648_25_03_2026_15_00_03.pdf,,,
15,26632,Andhra (62),आन्ध्रा(62),Chirgaon(Sub-District) / Shimla(District) / Himachal Pradesh(State),01937700,026632,N,,,,
16,26420,Andhrevathi(28),अन्द्रेवठी(28),Rohru(Sub-District) / Shimla(District) / Himachal Pradesh(State),01916600,026420,N,,,,
