S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,22760,Achhla Chandar (265),आच्छला चान्दड़ (265),Pachhad(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01582800,022760,N,,,,
2,23395,Adhog (4),अंधोग (4),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01645800,023395,N,,,,
3,22563,Adwain Sangrah (71),अड़वान सँगडाह (71),Rajgarh(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01563100,022563,N,,,,
4,23238,Agriwala (151),अगडीवाला (151),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01630600,023238,N,,,,
5,23365,Agron (42),आगरों (42),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01642800,023365,N,,,,
6,22826,Ajga (328),अजगा (328),Narag(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01589400,022826,N,,,,
7,23301,Ajiawala (124),अजीयवाला (124),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01636900,023301,N,,,,
8,23339,Ajoli (93),अजौली (93),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01640200,023339,N,,,,
9,23465,Ajrouli (175),अजरोली (175),Ronhat(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01652800,023465,N,,,,
10,23350,Akalgarh (107),अकालग़ढ़ (107),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01641300,023350,N,,,,
11,23306,Amargarh (136),अमरगढ़ (136),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01637400,023306,N,,,,
12,23335,Amarkot (97),अमरकोट (97),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01639800,023335,N,,,,
13,937547,Amarpur (46-8),अमरपुर (46/8),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),,000000,N,,,,
14,23400,Ambaun (6),अम्बौण (6),Kamrau(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01646300,023400,N,,,,
15,23363,Amboa (33),अम्बोया (33),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01642600,023363,N,,,,
16,23186,Ambwala Sainwala (120),अम्बवाला सैनवाला (120),Nahan(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01625400,023186,N,,,,
17,23355,Ambwala Singhpura (108),अम्बवाला सिंघपुरा (108),Paonta Sahib(Sub-District) / Sirmaur(District) / Himachal Pradesh(State),01641800,023355,N,,,,
