S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,22193,Aambad (577),आम्बड़ (577),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01526100,022193,N,,,,
2,21960,Aanji Brahmna (806),आँजी ब्राहम्णा (806),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01502800,021960,N,,,,
3,21053,Abharni (415),अभरनी (415),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01412300,021053,N,,,,
4,20982,Abhipur(123),अभिपुर  (123),Nalagarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01405700,020982,N,,,,
5,20780,Abhipur (2),अभिपुर (2),Panjehra(Sub-District) / Solan(District) / Himachal Pradesh(State),01385300,020780,N,,,,
6,22000,Adna(883),अड़ना (883),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01506800,022000,N,,,,
7,20841,Aduwal Jandori (66),आदुवाल जंडौरी (66),Panjehra(Sub-District) / Solan(District) / Himachal Pradesh(State),01391400,020841,N,,,,
8,21514,Ahani (721),आहनी (721),Kasauli(Sub-District) / Solan(District) / Himachal Pradesh(State),01455900,021514,N,,,,
9,21143,Aikhu (310),ऐखु (310),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01432300,021143,N,,,,
10,21087,Akanwali (181),अकांवाली (181),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01416000,021087,N,,,,
11,21140,Aleta (432),अलेटा (432),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01421800,021140,N,,,,
12,20406,Ali (246),आली (246),Darlaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01316000,020406,N,,,,
13,22429,Aljho (409),अल्झो (409),Kandaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01549700,022429,N,,,,
14,21808,Alobara (282),अलोबरा (282),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01487600,021808,N,,,,
15,21016,Alyon (378),अल्योण (378),Nalagarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01409200,021016,N,,,,
16,20760,Amb Da Har (2),अम्ब दा हार (2),Panjehra(Sub-District) / Solan(District) / Himachal Pradesh(State),01383300,020760,N,,,,
17,21134,Ambka (426),अंबका (426),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01421200,021134,N,,,,
18,21308,Ambota (327),अम्बोटा (327),Krishangarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01428600,021308,N,,,,
19,21538,Ambota (952),महाल अम्बोटा (952),Parwanoo(Sub-District) / Solan(District) / Himachal Pradesh(State),01460600,021538,N,,,,
20,20828,Ambwala (63),अम्बवाला (63),Panjehra(Sub-District) / Solan(District) / Himachal Pradesh(State),01390100,020828,N,,,,
21,20921,Amli (332),अमली (332),Nalagarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01399400,020921,N,,,,
22,21025,Amru (396),अमरू (396),Baddi(Sub-District) / Solan(District) / Himachal Pradesh(State),01409500,021025,N,,,,
23,22122,Anda (7),एण्डा (7),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01519000,022122,N,,,,
24,22121,Andi (6),एण्ड़ी (6),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01518900,022121,N,,,,
25,20818,Androla Nichla (46),अन्द्रोला निहला  (46),Panjehra(Sub-District) / Solan(District) / Himachal Pradesh(State),01389100,020818,N,,,,
26,20819,Androla Uperla (47),अन्द्रोला उपरला (47),Panjehra(Sub-District) / Solan(District) / Himachal Pradesh(State),01389200,020819,N,,,,
27,19974,Androli (166),अन्द्रोली (166),Arki(Sub-District) / Solan(District) / Himachal Pradesh(State),01322800,019974,N,,,,
28,22004,Androli (909),अन्दरोली (909),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01507200,022004,N,,,,
29,21747,Anji (237),आँजी (237),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01481500,021747,N,,,,
30,22286,Anji (307),आंजी (307),Mamlig(Sub-District) / Solan(District) / Himachal Pradesh(State),01535400,022286,N,,,,
31,21247,Anji (395),आंजी (395),Krishangarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01422500,021247,N,,,,
32,22376,Anji (431),आंजी (431),Kandaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01544400,022376,N,,,,
33,21410,Anji (439),आंजी (439),Krishangarh(Sub-District) / Solan(District) / Himachal Pradesh(State),01442000,021410,N,,,,
34,22456,Anji (450),आंजी (450),Kandaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01552400,022456,N,,,,
35,22437,Anji (459),आंजी (459),Kandaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01550500,022437,N,,,,
36,21887,Anji (57),आँजी (57),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01495500,021887,N,,,,
37,22071,Anji (622),आँजी (622),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01513900,022071,N,,,,
38,21931,Anji (645),आँजी (645),Solan(Sub-District) / Solan(District) / Himachal Pradesh(State),01499900,021931,N,,,,
39,21599,Anji (734),आँजी (734),Kasauli(Sub-District) / Solan(District) / Himachal Pradesh(State),01466700,021599,N,,,,
40,21677,Anji (898),आँजी (898),Kasauli(Sub-District) / Solan(District) / Himachal Pradesh(State),01474500,021677,N,,,,
41,21650,Anji Brahamana (689),आँजी ब्राहमणा (689),Kasauli(Sub-District) / Solan(District) / Himachal Pradesh(State),01471800,021650,N,,,,
42,22321,Anji Brahmna (91),आंजी ब्राहम्णा (91),Mamlig(Sub-District) / Solan(District) / Himachal Pradesh(State),01538900,022321,N,,,,
43,21639,Anji Chamara (682),आँजी चमारा (682),Kasauli(Sub-District) / Solan(District) / Himachal Pradesh(State),01470700,021639,N,,,,
44,21615,Anji Chanala (703),आंजी चनाला (703),Kasauli(Sub-District) / Solan(District) / Himachal Pradesh(State),01468300,021615,N,,,,
45,22362,Anji Koliyan (63),आंजी कोलियाँ (63),Kandaghat(Sub-District) / Solan(District) / Himachal Pradesh(State),01543000,022362,N,,,,
