S No,Village LGD Code,Village Name (In English),Village Name (In Local language),Hierarchy,Census 2001 Code,Census2011 Code,Pesa Status,View Government Order,View Details,View History,View Map
1,18253,Aado (63),आदो (63),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01136800,018253,N,,,,
2,18220,Aaghar (70),आघार (70),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01133500,018220,N,,,,
3,18792,Abada Barana (215),अबादा बराना (215),Una(Sub-District) / Una(District) / Himachal Pradesh(State),01190700,018792,N,,,,
4,18110,Abheypur (122),अभयपुर (122),Ghanari(Sub-District) / Una(District) / Himachal Pradesh(State),01122500,018110,N,,,,
5,18200,Adarsh Nagar (143),आदर्श नगर (143),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01131500,018200,N,,,,
6,937785,Aerian (219),एरियां(219),Mehatpur(Sub-District) / Una(District) / Himachal Pradesh(State),,000000,N,,,,
7,18554,Aghlor (7/1),अघलौर (7/1),Birhu Kalan(Sub-District) / Una(District) / Himachal Pradesh(State),01166900,018554,N,,,,
8,18415,Aisan (15/31),ऐसन (15/31),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01153000,018415,N,,,,
9,18773,Ajnoli (203),अजनोली (203),Una(Sub-District) / Una(District) / Himachal Pradesh(State),01188800,018773,N,,,,
10,18831,Ajouli (237),अजौली (237),Mehatpur(Sub-District) / Una(District) / Himachal Pradesh(State),01194600,018831,N,,,,
11,18324,Akrot (111),अकरोट (111),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01143900,018324,N,,,,
12,18213,Alehar (82),अलैहड़ (82),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01132800,018213,N,,,,
13,18677,Aliana (9/16),अलियाना (9/16),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01179200,018677,N,,,,
14,18086,Aloh (31/7),अलोह(31/7),Bharwain(Sub-District) / Una(District) / Himachal Pradesh(State),01120100,018086,N,,,,
15,18433,Alsahan (16/16),अलसाहन(16/16),Bangana(Sub-District) / Una(District) / Himachal Pradesh(State),01154800,018433,N,,,,
16,18524,Ambe Da Behra (6/2),अम्बे दा बेहड़ा़ (6/2),Jol(Sub-District) / Una(District) / Himachal Pradesh(State),01163900,018524,N,,,,
17,18513,Ambhera Dhiraj (6/1),अमबेहड़ा धीरज (6/1),Jol(Sub-District) / Una(District) / Himachal Pradesh(State),01162800,018513,N,,,,
18,18510,Ambhera Ramkishan (6/9),अमबेहड़ा रामकिशन (6/9),Jol(Sub-District) / Una(District) / Himachal Pradesh(State),01162500,018510,N,,,,
19,18198,Amb Khas (143),अम्ब खास(143),Amb(Sub-District) / Una(District) / Himachal Pradesh(State),01131300,018198,N,,,,
